,business_id,name,address,city,state,latitude,longitude,stars,review_count,attributes,categories,hours
43,Kq51_lGAgAigqmENITTr-A,Bala Better Health,"2 Bala Plz, Ste PL-11",Jacksonville,FL,30.3322,-81.6749,4.0,13,"{'WiFi': ""u'free'"", 'BusinessAcceptsBitcoin': 'False', 'BikeParking': 'True', 'AcceptsInsurance': 'False', 'ByAppointmentOnly': 'False', 'WheelchairAccessible': 'True', 'BusinessAcceptsCreditCards': 'True'}","Health & Medical, Beauty & Spas, Laser Hair Removal, Doctors, Hair Removal, Chiropractors, Weight Loss Centers, Sports Medicine, Medical Spas, Skin Care","{'Monday': '0:0-0:0', 'Tuesday': '9:0-15:0'}"
68,lOP3HxdUTaq0eXhwR_KC-w,Sweet Things Chocolates,2288 W 86th St,Mission Viejo,CA,33.6096,-117.6551,4.0,13,"{'BusinessAcceptsCreditCards': 'True', 'BikeParking': 'True', 'RestaurantsPriceRange2': '2', 'RestaurantsTakeOut': 'True', 'RestaurantsDelivery': 'True', 'WheelchairAccessible': 'True', 'BusinessParking': ""{u'valet': False, u'garage': False, u'street': None, u'lot': True, u'validated': False}""}","Chocolatiers & Shops, Specialty Food, Candy Stores, Food","{'Monday': '10:0-18:0', 'Tuesday': '10:0-18:0', 'Wednesday': '10:0-18:0', 'Thursday': '10:0-18:0', 'Friday': '10:0-18:0', 'Saturday': '11:0-17:0'}"
82,ppFCk9aQkM338Rgwpl2F5A,Wawa,3604 Chestnut St,Palm Bay,FL,27.9631,-80.6593,3.0,56,"{'Alcohol': ""u'none'"", 'RestaurantsGoodForGroups': 'True', 'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'OutdoorSeating': 'False', 'RestaurantsPriceRange2': '1', 'BusinessAcceptsCreditCards': 'True', 'Ambience': ""{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}"", 'GoodForKids': 'True', 'RestaurantsReservations': 'False', 'RestaurantsTakeOut': 'True', 'NoiseLevel': ""u'average'"", 'RestaurantsAttire': ""u'casual'"", 'Caters': 'False', 'ByAppointmentOnly': 'False', 'HasTV': 'True', 'BikeParking': 'True', 'WiFi': ""u'free'"", 'RestaurantsDelivery': 'True'}","Restaurants, Automotive, Delis, Gas Stations, Food, Coffee & Tea, Sandwiches, Convenience Stores","{'Monday': '0:0-0:0', 'Tuesday': '0:0-0:0', 'Wednesday': '0:0-0:0', 'Thursday': '0:0-0:0', 'Friday': '0:0-0:0', 'Saturday': '0:0-0:0', 'Sunday': '0:0-0:0'}"
90,-ZXYcCyDjj1QimnJyGtYtg,Gilley's Antique Mall,5789 E US Hwy 40,Long Beach,CA,33.7977,-118.167,4.5,24,"{'RestaurantsPriceRange2': '2', 'ByAppointmentOnly': 'False', 'BikeParking': 'True', 'BusinessAcceptsCreditCards': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}""}","Home Decor, Shopping, Antiques, Books, Mags, Music & Video, Home & Garden","{'Monday': '10:0-17:0', 'Tuesday': '10:0-17:0', 'Wednesday': '10:0-17:0', 'Thursday': '10:0-17:0', 'Friday': '10:0-17:0', 'Saturday': '10:0-17:0', 'Sunday': '10:0-17:0'}"
91,nUqrF-h9S7myCcvNDecOvw,Iron Horse Auto Body,825 Cacique St,Port St. Lucie,FL,27.2796,-80.3884,4.5,32,"{'BusinessAcceptsCreditCards': 'True', 'WiFi': ""u'no'""}","Towing, Automotive, Body Shops","{'Monday': '0:0-0:0', 'Tuesday': '8:0-17:0', 'Wednesday': '8:0-17:0', 'Thursday': '8:0-17:0', 'Friday': '8:0-17:0'}"
93,RK6-cJ9hj53RzOlCBmpT-g,Impasto,,Reno,NV,39.5497,-119.8483,5.0,5,"{'BusinessAcceptsCreditCards': 'True', 'RestaurantsDelivery': 'False', 'RestaurantsTakeOut': 'True', 'Caters': 'True'}","Restaurants, Italian, Food Trucks, Food","{'Monday': '0:0-0:0', 'Tuesday': '0:0-0:0', 'Wednesday': '0:0-0:0', 'Thursday': '0:0-0:0', 'Friday': '0:0-0:0', 'Saturday': '0:0-0:0', 'Sunday': '0:0-0:0'}"
97,knQ4vIgx-r85kjlWVVjcpQ,Silver and Blue Outfitters,5191 Meadowood Mall Cir,Bonita Springs,FL,26.3558,-81.7859,4.5,5,"{'BikeParking': 'True', 'WiFi': ""u'no'"", 'DogsAllowed': 'False', 'BusinessAcceptsCreditCards': 'True', 'Alcohol': ""u'none'"", 'WheelchairAccessible': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'RestaurantsReservations': 'False', 'BusinessAcceptsBitcoin': 'False'}","Sporting Goods, Sports Wear, Fashion, Restaurants, Fast Food, Sandwiches, Shopping","{'Monday': '0:0-0:0', 'Tuesday': '10:0-21:0', 'Wednesday': '10:0-21:0', 'Thursday': '10:0-21:0', 'Friday': '10:0-21:0', 'Saturday': '10:0-21:0', 'Sunday': '11:0-18:0'}"
99,1MeIwdbTnZOBFCKOrgaxuw,Ricardo's Italian Cafe,1931 Park Ave,Oakland,CA,37.7904,-122.2166,3.5,80,"{'OutdoorSeating': 'False', 'BusinessAcceptsCreditCards': 'True', 'RestaurantsReservations': 'True', 'RestaurantsAttire': ""u'casual'"", 'RestaurantsTakeOut': 'True', 'Alcohol': ""u'full_bar'"", 'RestaurantsPriceRange2': '2', 'GoodForKids': 'True', 'Caters': 'False', 'RestaurantsDelivery': 'False', 'RestaurantsGoodForGroups': 'True', 'Ambience': ""{'romantic': False, 'intimate': False, 'touristy': False, 'hipster': False, 'divey': False, 'classy': False, 'trendy': False, 'upscale': False, 'casual': True}"", 'WiFi': ""'no'"", 'BikeParking': 'True', 'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'NoiseLevel': ""u'average'"", 'HasTV': 'True', 'HappyHour': 'True'}","American (New), Restaurants, Cafes, Italian, American (Traditional)","{'Monday': '11:0-14:0', 'Tuesday': '16:0-21:0', 'Wednesday': '16:0-21:0', 'Thursday': '16:0-21:0', 'Friday': '16:0-22:0', 'Saturday': '17:30-22:0'}"
102,EuRGgOwJ0g1vTj2R04j37Q,Crafty Crab,51 Ludwig Dr,Kissimmee,FL,28.3041,-81.4169,2.5,14,"{'BusinessParking': ""{u'valet': False, u'garage': False, u'street': False, u'lot': True, u'validated': False}"", 'RestaurantsDelivery': 'True', 'RestaurantsTakeOut': 'True', 'HasTV': 'True', 'GoodForKids': 'True'}","Seafood, Restaurants","{'Monday': '12:0-22:0', 'Tuesday': '12:0-22:0', 'Wednesday': '12:0-22:0', 'Thursday': '12:0-22:0', 'Friday': '12:0-23:0', 'Saturday': '12:0-23:0', 'Sunday': '12:0-22:0'}"
110,VrGxoSNZfSiT-G4OqRRGIw,Sunset 44 Bistro,118 W Adams Ave,Pensacola,FL,30.4413,-87.1911,4.0,73,"{'RestaurantsPriceRange2': '2', 'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': True, 'valet': False}"", 'RestaurantsGoodForGroups': 'True', 'HasTV': 'True', 'Caters': 'True', 'Ambience': ""{'romantic': False, 'intimate': False, 'classy': True, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}"", 'OutdoorSeating': 'True', 'BusinessAcceptsCreditCards': 'True', 'RestaurantsAttire': ""u'casual'"", 'RestaurantsReservations': 'True', 'RestaurantsTakeOut': 'True', 'Alcohol': ""'full_bar'"", 'WheelchairAccessible': 'True', 'NoiseLevel': ""u'quiet'"", 'WiFi': ""u'free'"", 'RestaurantsTableService': 'True', 'BusinessAcceptsBitcoin': 'False', 'Smoking': ""u'outdoor'"", 'HappyHour': 'True', 'Music': ""{'dj': False, 'background_music': False, 'no_music': False, 'jukebox': False, 'live': False, 'video': False, 'karaoke': False}"", 'BikeParking': 'True', 'GoodForKids': 'True', 'RestaurantsDelivery': 'True', 'BestNights': ""{'monday': False, 'tuesday': False, 'friday': True, 'wednesday': False, 'thursday': True, 'sunday': False, 'saturday': True}"", 'GoodForMeal': ""{'dessert': None, 'latenight': False, 'lunch': None, 'dinner': True, 'brunch': False, 'breakfast': False}""}","Bars, Lounges, American (New), Restaurants, Nightlife, Wine Bars","{'Monday': '16:0-21:0', 'Tuesday': '16:0-21:0', 'Wednesday': '16:0-21:0', 'Thursday': '16:0-21:0', 'Friday': '16:0-22:0', 'Saturday': '16:0-22:0', 'Sunday': '16:0-20:0'}"
114,4dVrWc4Nhuw9apfk9BWEcA,Walmart Supercenter,41232 US Hwy 19 N,Oxnard,CA,34.1964,-119.1815,2.0,29,"{'RestaurantsTakeOut': 'False', 'BikeParking': 'True', 'BusinessAcceptsCreditCards': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'Caters': 'False', 'RestaurantsDelivery': 'True', 'RestaurantsPriceRange2': '2'}","Grocery, Food, Shopping, Fashion, Drugstores, Department Stores, Discount Store, Electronics","{'Monday': '0:0-0:0', 'Tuesday': '0:0-0:0', 'Wednesday': '0:0-0:0', 'Thursday': '0:0-0:0', 'Friday': '0:0-0:0', 'Saturday': '0:0-0:0', 'Sunday': '0:0-0:0'}"
115,xfmkEGiIERBaBMLhw-dTCg,Walmart Vision & Glasses,1675 S Christopher Columbus Blvd,Indio,CA,33.7346,-116.2346,4.5,6,"{'RestaurantsPriceRange2': '2', 'BusinessAcceptsCreditCards': 'True', 'BusinessParking': 'None'}","Eyewear & Opticians, Shopping","{'Monday': '9:0-20:0', 'Tuesday': '9:0-20:0', 'Wednesday': '9:0-20:0', 'Thursday': '9:0-20:0', 'Friday': '9:0-20:0', 'Saturday': '9:0-18:0'}"
117,kk_oEw1j3xQ-cJaAII8A0Q,Giant Food Store,1760 Dekalb Pike,Victorville,CA,34.5277,-117.3536,3.0,29,"{'RestaurantsPriceRange2': '2', 'BusinessAcceptsCreditCards': 'True', 'BikeParking': 'False', 'RestaurantsTakeOut': 'True', 'Caters': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}""}","Grocery, Food","{'Monday': '6:0-0:0', 'Tuesday': '6:0-0:0', 'Wednesday': '6:0-0:0', 'Thursday': '6:0-0:0', 'Friday': '6:0-0:0', 'Saturday': '6:0-0:0', 'Sunday': '6:0-0:0'}"
130,3BJxm-HnvzdwD1zjmSbmyQ,Golden Chopstick Chinese Restaurant,1800 Spring Garden St,Antioch,CA,37.9787,-121.796,3.0,137,"{'GoodForKids': 'True', 'RestaurantsDelivery': 'True', 'Alcohol': ""u'none'"", 'RestaurantsTakeOut': 'True', 'RestaurantsPriceRange2': '1', 'BusinessAcceptsCreditCards': 'True', 'OutdoorSeating': 'False', 'RestaurantsGoodForGroups': 'True', 'BikeParking': 'True', 'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'HasTV': 'True', 'RestaurantsAttire': ""'casual'"", 'NoiseLevel': ""u'average'"", 'HappyHour': 'False', 'DogsAllowed': 'False', 'WheelchairAccessible': 'True', 'WiFi': ""u'free'"", 'RestaurantsReservations': 'True', 'BusinessAcceptsBitcoin': 'False', 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': None, 'brunch': False, 'breakfast': False}"", 'Ambience': ""{'touristy': False, 'hipster': False, 'romantic': False, 'divey': None, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': False, 'casual': None}"", 'RestaurantsTableService': 'True', 'Caters': 'True'}","Restaurants, Chinese","{'Monday': '0:0-0:0', 'Tuesday': '11:0-22:30', 'Wednesday': '11:0-22:30', 'Thursday': '11:0-22:30', 'Friday': '11:0-22:30', 'Saturday': '11:0-22:30', 'Sunday': '12:0-22:30'}"
142,GWGXTKR0Fhdvzf_isDqJug,"David Gower, Jr.  - Coldwell Banker Preferred","325 Chestnut St, Ste 1300",Irvine,CA,33.6772,-117.7738,5.0,17,"{'BusinessAcceptsCreditCards': 'True', 'ByAppointmentOnly': 'True'}","Real Estate, Home Services, Real Estate Agents","{'Monday': '9:0-19:0', 'Tuesday': '9:0-19:0', 'Wednesday': '9:0-19:0', 'Thursday': '9:0-19:0', 'Friday': '9:0-19:0', 'Saturday': '9:0-19:0', 'Sunday': '9:0-19:0'}"
143,-aeZuatjCDMV1X4gCTz9Ug,David Thomas Trailways,14005 McNulty Rd,Santa Rosa,CA,38.4458,-122.7067,4.5,6,"{'WiFi': ""u'free'""}","Buses, Transportation, Bus Tours, Hotels & Travel, Travel Agents, Travel Services, Airport Shuttles, Tours, Public Transportation","{'Monday': '8:30-17:0', 'Tuesday': '8:30-17:0', 'Wednesday': '8:30-17:0', 'Thursday': '8:30-17:0', 'Friday': '8:30-17:0'}"
147,uCQqtYW_xc1EJRm7NyakdA,Yogurt Beach,2500 E 2nd St,Winter Haven,FL,28.0118,-81.7014,4.5,12,"{'BikeParking': 'False', 'RestaurantsTakeOut': 'True', 'Caters': 'False', 'RestaurantsPriceRange2': '1', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'BusinessAcceptsCreditCards': 'True'}","Food, Desserts","{'Monday': '12:0-22:0', 'Tuesday': '12:0-22:0', 'Wednesday': '12:0-22:0', 'Thursday': '12:0-22:0', 'Friday': '12:0-23:15', 'Saturday': '12:0-23:15', 'Sunday': '12:0-22:0'}"
159,X_E7U2lVNEwbH_gpOBmAHQ,Cerveza Jack's,135 2nd Ave N,Chula Vista,CA,32.6281,-117.0144,4.0,182,"{'GoodForDancing': 'True', 'Smoking': ""u'no'"", 'GoodForKids': 'False', 'RestaurantsDelivery': 'False', 'BikeParking': 'True', 'RestaurantsAttire': ""'casual'"", 'RestaurantsPriceRange2': '2', 'RestaurantsGoodForGroups': 'True', 'CoatCheck': 'False', 'DogsAllowed': 'False', 'RestaurantsTakeOut': 'True', 'WiFi': ""'free'"", 'DriveThru': 'False', 'RestaurantsTableService': 'True', 'BusinessParking': ""{'garage': None, 'street': True, 'validated': None, 'lot': False, 'valet': False}"", 'BestNights': ""{'monday': False, 'tuesday': True, 'friday': False, 'wednesday': False, 'thursday': False, 'sunday': False, 'saturday': True}"", 'RestaurantsReservations': 'False', 'NoiseLevel': ""u'loud'"", 'Music': ""{'dj': False, 'background_music': False, 'no_music': False, 'jukebox': False, 'live': True, 'video': False, 'karaoke': False}"", 'HasTV': 'True', 'HappyHour': 'True', 'Alcohol': ""u'full_bar'"", 'Caters': 'False', 'OutdoorSeating': 'None', 'Ambience': ""{u'divey': None, u'hipster': None, u'casual': True, u'touristy': None, u'trendy': True, u'intimate': False, u'romantic': False, u'classy': None, u'upscale': False}"", 'BusinessAcceptsCreditCards': 'True', 'GoodForMeal': ""{'dessert': None, 'latenight': True, 'lunch': True, 'dinner': True, 'brunch': None, 'breakfast': False}""}","Nightlife, Restaurants, Bars, Mexican","{'Monday': '0:0-0:0', 'Wednesday': '11:0-22:0', 'Thursday': '11:0-22:0', 'Friday': '11:0-1:0', 'Saturday': '11:0-1:0', 'Sunday': '11:0-22:0'}"
165,BxhkoR6cscJwwex8gx31OA,Bar-B-Cutie,1787 Gallatin Pike N,Santa Clarita,CA,34.4175,-118.4964,3.5,40,"{'GoodForKids': 'True', 'BusinessAcceptsCreditCards': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'Alcohol': ""u'none'"", 'RestaurantsTakeOut': 'True', 'OutdoorSeating': 'False', 'RestaurantsAttire': ""u'casual'"", 'NoiseLevel': ""'average'"", 'RestaurantsGoodForGroups': 'True', 'RestaurantsReservations': 'False', 'WiFi': ""u'no'"", 'Caters': 'True', 'DriveThru': 'True', 'Ambience': ""{u'divey': None, u'hipster': False, u'casual': True, u'touristy': None, u'trendy': False, u'intimate': False, u'romantic': False, u'classy': False, u'upscale': False}"", 'BikeParking': 'True', 'HasTV': 'True', 'RestaurantsDelivery': 'True', 'RestaurantsPriceRange2': '2'}","Restaurants, Barbeque","{'Monday': '10:0-20:30', 'Tuesday': '10:0-20:30', 'Wednesday': '10:0-20:30', 'Thursday': '10:0-20:30', 'Friday': '10:0-21:30', 'Saturday': '10:0-21:30', 'Sunday': '10:0-20:0'}"
171,l6VYP8AxIoW6U52aDo8fXg,HMV Superstore,8882 170th Street,North Las Vegas,NV,36.2883,-115.0888,4.0,24,"{'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'RestaurantsPriceRange2': '2', 'BikeParking': 'True'}","Home & Garden, Music & DVDs, Fashion, Accessories, Shopping, Home Decor, Books, Mags, Music & Video, Video Game Stores","{'Monday': '10:0-21:0', 'Tuesday': '9:30-21:0', 'Wednesday': '10:0-21:0', 'Thursday': '10:0-21:0', 'Friday': '10:0-21:0', 'Saturday': '10:0-21:0', 'Sunday': '11:0-18:0'}"
173,E-nhxuu3zbt02oCj_1AFng,Selah,"510 N 7th Ave, Ste 130",St. Petersburg,FL,27.7931,-82.6652,5.0,60,"{'WheelchairAccessible': 'True', 'BikeParking': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'RestaurantsPriceRange2': '1', 'ByAppointmentOnly': 'True', 'BusinessAcceptsCreditCards': 'True', 'WiFi': ""u'free'""}","Waxing, Hair Removal, Skin Care, Eyelash Service, Beauty & Spas","{'Monday': '0:0-0:0', 'Tuesday': '10:0-18:0', 'Wednesday': '10:0-18:0', 'Thursday': '10:0-18:0', 'Friday': '10:0-18:0', 'Saturday': '9:0-17:0', 'Sunday': '9:0-17:0'}"
174,vvE3HVfxlx9UYctKPr0dbw,Inspired By Purpose Wellness Center & Yoga Studio,"2910 Mill St, Ste B",Tallahassee,FL,30.4551,-84.2527,4.5,9,"{'GoodForKids': 'True', 'BikeParking': 'True', 'ByAppointmentOnly': 'True', 'AcceptsInsurance': 'False', 'BusinessAcceptsCreditCards': 'True', 'BusinessParking': ""{u'valet': False, u'garage': False, u'street': False, u'lot': True, u'validated': False}"", 'DogsAllowed': 'False', 'WheelchairAccessible': 'False'}","Weight Loss Centers, Health & Medical, Life Coach, Meditation Centers, Professional Services, Yoga, Active Life, Fitness & Instruction, Trainers, Nutritionists","{'Monday': '0:0-0:0', 'Tuesday': '11:45-20:0', 'Wednesday': '5:45-20:0', 'Thursday': '5:45-20:0', 'Friday': '5:30-13:0', 'Saturday': '8:30-11:30'}"
