,user_id,name,review_count,yelping_since,useful,funny,cool,fans,average_stars,compliment_hot,compliment_more,compliment_profile,compliment_cute,compliment_list,compliment_note,compliment_plain,compliment_cool,compliment_funny,compliment_writer,compliment_photos
212,UVUIi0q38pAvsfuEEppe0Q,Stephen,3246,2011-04-08 22:19:26,4904,1239,3094,140,4.32,70,20,4,1,17,122,274,165,165,95,5
227,aA0WQpDdksKuDafTGzJf_A,Warren,161,2007-05-06 22:48:26,410,211,221,23,3.63,13,6,4,1,12,12,13,19,19,8,1
232,-uybOghOlhc_UHEZvkyShQ,Brian,780,2006-08-25 19:09:20,1735,515,473,51,3.42,10,14,1,1,9,28,32,32,32,18,1
249,aIFbo8WaP6SCuOFnj_v9kA,Melody,514,2007-12-23 04:26:43,664,156,156,25,3.43,0,2,0,0,0,17,12,7,7,8,0
251,7Na1pUcEv3oF_QTRwZ-2iw,Amanda,839,2011-10-23 23:52:25,2611,1349,2129,66,4.18,63,9,7,4,3,61,129,108,108,37,34
262,4PE0tDvV9Lo8VW8kDW1SFQ,Chris,113,2006-08-10 03:37:38,362,98,252,19,4.54,37,8,1,1,6,13,15,35,35,9,1
264,v9VCObZVWhOPdm1rKt8Dvg,Jonathan,258,2010-06-05 16:44:22,1605,762,1169,40,3.87,127,22,12,7,0,58,266,301,301,131,18
266,JITevzyEgskIJc6sgOyEgw,Kristin Marie,645,2008-02-11 19:45:49,1517,783,963,70,3.89,103,34,19,4,11,49,89,152,152,65,8
267,drui1iMt-TPzJiSkQp5CtA,Felicia,212,2007-08-02 21:41:41,625,200,262,35,4.15,47,18,2,7,0,14,20,38,38,38,1
269,SkYIKEIQfEo65_xHNM114w,Kumar,117,2010-11-17 17:10:32,132,30,44,5,4.06,0,1,0,0,0,0,7,0,0,4,0
272,KVbMZV-XJPSH9wXEwuXIaA,David S.,426,2010-11-25 14:56:03,1495,813,589,27,2.69,20,5,4,3,1,134,72,75,75,42,20
277,Bnf-KvDhT8WXrpv2WJEOQQ,Leah,240,2009-08-08 13:11:32,410,75,216,18,4.07,16,3,2,1,0,18,17,14,14,10,1
280,lHK2jZ1sAG_bMl83824CaA,Lorac,115,2010-12-23 23:59:32,107,37,40,10,3.71,6,4,0,0,0,1,5,6,6,2,0
286,BgZwJBhVWKq1Urs4rKBdiA,Tres,1545,2008-01-31 01:39:24,6087,3991,3487,83,3.51,84,20,11,5,11,125,279,182,182,92,21
300,flj6NjfxqwudsBvOTbrhug,Mel,94,2010-03-24 02:00:23,106,53,46,2,4.01,10,3,3,1,2,4,3,12,12,2,1
303,Ve0LUwcrzxL7w0RYgY4Aaw,Katy,1987,2008-08-22 16:38:41,28015,13474,22933,1118,4.2,1587,180,177,288,87,2053,5859,2979,2979,1002,500
315,qUnVF9NPMsUX4G5nZ5ZSDw,Lisa,114,2010-08-06 11:49:42,203,92,69,2,3.47,11,4,2,0,0,13,5,14,14,9,3
331,x4f9anzaaBozvJh5nv26SA,Mandy,309,2010-02-01 14:05:35,832,211,370,50,4.06,14,4,0,1,1,18,15,29,29,23,15
336,TaByJybLHGn9QXGE8fBklA,Cb,47,2010-07-01 22:56:43,38,14,7,2,3.51,1,0,0,0,0,1,0,1,1,2,1
374,eTvp_hYnsrI5-ow_sQ31_g,Patt,1028,2010-07-13 15:42:03,9050,3249,5929,145,4.05,1219,113,28,14,26,1608,6510,2673,2673,587,9
387,YrV3NLnSg35UBIM76w35ww,Brandon,5,2011-06-17 23:50:44,12,4,1,0,1.67,0,0,0,0,0,1,0,0,0,0,0
391,Qa2NoSc6DphQArihBgY9Gg,Brooke,1030,2007-05-28 19:12:41,4718,2957,3366,65,2.94,226,28,19,19,4,135,204,420,420,66,5
398,O5HnDFz6IzJ3ti3hG65XtA,John,7,2011-05-14 21:17:41,11,2,0,1,3.43,0,0,0,0,0,0,0,0,0,0,0
405,c11NnfZEkPQg9khQWjtKWg,John,71,2010-07-14 10:46:19,77,10,43,1,3.72,2,1,0,0,0,3,2,5,5,1,0
412,in672plSIGcbOj2q5moYwg,Cricket,212,2010-09-19 07:20:27,1305,773,687,39,3.88,196,7,3,4,7,101,260,192,192,44,10
416,OgYi5x02MBukfxPNFe1ePg,Colleen,1516,2009-09-17 13:53:53,10675,4303,6846,695,3.84,1025,147,77,118,66,1112,4080,1716,1716,517,405
432,2XKlUjHGk9z-2ckFMcBEHw,Sheena,731,2012-05-06 16:17:55,1914,616,1010,136,3.95,112,21,16,7,2,58,107,127,127,68,48
434,pMltyeuU4SjT6Y8YVy7HBA,Tony,1139,2006-06-21 15:41:53,1648,681,932,58,3.92,55,5,11,2,1,44,94,76,76,31,11
439,EROW4chFZQF1E-eZVpYAAA,Aimee,57,2009-02-02 00:08:06,95,33,43,3,3.9,3,2,1,0,0,2,6,6,6,4,0
446,ebaMzyIDq-6VLn_Z92UgPg,Veronica,147,2007-10-15 21:10:54,651,386,432,56,4.01,36,3,3,8,0,41,28,49,49,20,25
447,2YKkLFeOx-0zRcWp0KUv_Q,Mark,564,2010-06-07 21:08:02,2158,1026,1068,63,3.69,96,11,3,2,17,102,288,260,260,126,6
457,FoO5vOMb3_nKGmMiDUm8lA,picunte,60,2008-05-17 14:53:11,35,30,14,2,3.53,0,0,0,0,0,1,1,0,0,0,0
460,o_1beq3LiW_JH_rgUNBoFA,Kevin,274,2011-02-20 00:10:34,623,190,187,16,3.66,8,1,2,0,0,10,25,19,19,6,2
467,zlXlvI_IKONWpzOXugfwbA,Nilda,338,2007-04-19 21:14:13,1413,1389,1132,57,3.5,161,10,6,29,15,99,252,225,225,31,13
470,M9puGD3VU5FuhE60HklCvg,Ruth,2400,2006-11-12 23:50:50,14973,9111,10965,487,3.22,1180,132,108,93,37,686,824,1347,1347,620,405
471,OHbUGOs8hJS95foAhD7xUQ,D,65,2011-02-06 11:59:39,44,29,13,2,3.76,2,0,0,0,0,4,3,1,1,1,0
472,mZHk_DPbeUTQBZOBOyoqlA,Erin,280,2010-06-22 16:34:18,936,403,247,28,3.53,26,5,1,1,6,20,38,36,36,26,8
474,K2VZMLykxnctDXWgO23lJg,Tim,358,2010-05-15 03:33:56,321,88,77,13,3.4,12,7,4,0,0,12,38,23,23,12,1
478,x6erNzhuM_c7xW6PlqClIQ,Zoe,742,2007-08-25 02:36:44,1462,529,775,49,3.79,31,9,4,1,6,10,27,49,49,26,4
501,GG0mFsEXb-02_dzFPqRV1Q,Mandy,754,2011-08-30 13:46:26,2925,775,988,57,3.46,34,8,2,0,1,45,77,58,58,34,6
502,nPJw7YpKgHE6fowxgl3l1A,Abbie,157,2011-08-26 04:14:07,201,28,58,15,4.06,7,4,0,1,1,9,15,12,12,4,2
505,TN4W0bPo7-8Pi5KUVAy8aw,Josh,9,2010-08-11 21:01:07,25,2,6,2,3.22,0,0,0,0,0,1,0,0,0,2,0
509,YUFqbfAePA8tgT2zE2y4xQ,Annie,191,2008-04-10 02:46:54,942,447,685,36,3.78,101,10,3,25,10,39,82,174,174,23,17
512,2botYYVjkOyNXYhzYZUrIQ,Jeff,358,2007-12-06 16:25:03,1223,592,697,57,4.02,95,25,8,4,6,70,142,95,95,57,7
513,k_muz40jJaiY1PVga6NDXA,Louis,1070,2008-06-09 00:16:02,2727,629,1047,64,3.84,27,17,7,0,3,56,91,82,82,32,8
514,5BpJEC8YVi80ecWT5CtlfQ,Jenny,2739,2008-09-11 01:51:00,17333,11441,14336,427,3.62,2497,190,168,52,75,508,1564,2415,2415,1035,1139
527,A5696UJqaQMQVtWStQyX9g,Eddie,179,2009-04-03 22:33:53,522,326,335,16,3.77,25,4,12,1,0,61,166,96,96,14,9
528,wKLYI27-HlYoI_KpyaLJjw,Donald,89,2009-11-19 17:33:17,55,33,33,5,4.21,19,0,0,0,0,11,19,7,7,2,1
533,IPKtxPKLM-PuLHGoT1e7iw,Beth,26,2011-05-14 14:11:45,22,2,4,2,3.89,0,0,0,0,0,3,1,1,1,0,0
535,eAA9CmVmPIRewS7l6l7xbw,Rebecca,80,2010-05-27 15:28:59,130,80,95,8,4.43,9,1,0,0,0,4,9,3,3,6,0
540,WWnhqRnWWjutMqh-2SzEuQ,Steph,3960,2008-07-09 06:30:28,27139,19038,21826,991,4.23,800,85,57,68,63,245,605,870,870,938,118
545,ojxS1v-8nUvEEx4DlsPQrA,Kristin,655,2010-05-18 03:07:02,621,124,290,34,3.69,3,2,3,0,0,28,19,23,23,7,1
564,hysY3Fv38CAoY0q7e-5mUg,Warren,175,2009-07-01 17:30:28,349,133,114,46,3.51,5,2,0,0,0,17,32,9,9,15,4
576,2z4CSJ9EH0L-5BmzquYnSg,Nicole,235,2010-09-12 06:40:28,567,197,214,16,3.32,26,3,1,1,2,21,34,41,41,14,6
609,gvB-AVjjN84YwLxTIV-3hQ,Skylee,47,2010-07-27 18:42:28,56,12,15,2,3.75,1,2,0,1,0,5,1,0,0,1,0
630,FlXBpK_YZxLo27jcMdII1w,Mallory,1158,2011-02-21 20:33:35,3875,1400,1999,102,4.02,77,16,11,6,7,125,157,127,127,71,7
649,uUcNCwf86aea7F9AGFBJNQ,Jae,143,2010-07-11 14:26:36,64,18,13,3,2.96,1,2,0,0,0,6,0,0,0,1,0
652,lT0jFHCIloX3bnF5eu0ERg,Mikey,262,2009-09-28 15:42:26,812,341,420,44,3.96,34,6,3,3,1,22,38,40,40,13,6
654,dI8kmo3hMqY7xwV9TmJlqA,Amy,78,2010-12-17 02:34:02,211,56,118,3,3.8,23,3,0,0,2,19,54,19,19,7,3
659,JXbz8URET4T6SWVrDmKWTA,Janelle,417,2007-01-26 19:22:50,1028,175,309,26,3.39,7,6,1,0,2,21,16,21,21,4,6
662,rcU7ysY41qGppbw4pQgjqg,Damien,2057,2007-06-30 12:28:20,15998,13038,11514,1106,3.87,888,97,104,102,89,1086,3864,1492,1492,447,277
680,NzXvqHFS6YYDY_qnfCHc7A,rebecca,28,2009-10-07 23:54:03,21,4,2,0,4.21,0,1,0,0,0,0,0,0,0,0,0
698,Sg_BvnTHsbc1AABiJjaiPA,Vivian,1398,2010-01-06 03:38:24,1688,616,911,83,3.45,34,13,2,6,1,28,44,61,61,30,16
718,JiUmz7l4rNz4-YmOj13i9g,Vicky,808,2007-12-27 18:26:42,3307,1071,1450,64,3.79,141,18,2,2,7,128,141,194,194,71,27
735,E7dNhALfxoE5OcH0ybH0Sw,Mike,474,2009-01-20 02:02:46,1325,553,908,50,4.16,83,10,25,4,3,41,71,115,115,40,24
741,PWcDbTaoBcBtumbkS5gUJw,Heather,145,2009-12-13 19:24:58,200,84,41,8,3.31,10,2,0,1,0,11,10,19,19,3,0
744,FJ6PUyukzZxl6SMErW6Jww,Mary,85,2007-06-06 04:40:21,191,28,42,3,4.19,1,2,0,0,0,2,4,3,3,1,1
761,cLpT9ZCzgr7H6BWqDRs2Og,Justin,336,2011-01-04 17:42:33,481,193,219,20,3.92,30,5,7,1,1,19,15,41,41,22,0
778,IyIsFkVY48JWa01inv-7zA,Rob,2904,2008-03-27 14:48:51,8482,3399,6169,158,3.72,104,28,23,2,3,124,213,224,224,121,5
789,YdoiyM2IeN4ymZOKA156HA,Yaj,233,2010-02-14 17:08:49,342,135,160,14,4.11,3,0,0,2,1,3,15,5,5,2,3
792,AiwVzxg4paqeDX82O4oFLg,Winnie,264,2012-05-03 23:21:00,66,19,26,1,4.18,0,0,0,0,0,3,3,0,0,1,1
806,uQxkH1qQe_pF5XDLJI3XdQ,Genieve,64,2010-06-09 23:07:38,56,11,19,2,3.77,1,1,0,0,0,4,7,1,1,1,0
820,Qsv6jcM2b2-9u62jWKboUA,Arica,84,2008-08-30 12:29:03,214,77,143,9,4.01,13,3,0,4,0,7,6,12,12,3,0
824,TR6x7n94q09D3lz2amaGMw,Niki,129,2009-12-17 00:17:59,283,28,63,3,4.0,0,0,0,0,0,5,1,3,3,3,0
830,sVr6_v-lwixu3VREOO9XpA,Aditya,404,2007-06-08 12:12:35,1333,330,638,53,3.76,95,7,4,4,11,132,406,206,206,109,17
833,gVFxZMcuG_Tal2_TnpmUPg,Stephanie,146,2008-05-05 00:16:33,347,100,124,6,3.68,18,13,1,0,0,10,8,21,21,8,0
852,nBdv5Br4G8pDWXXqSXhUug,Holly,230,2009-01-24 19:48:04,503,106,244,10,3.98,19,3,1,1,3,13,10,24,24,3,0
854,Gag5ANLthXs587HOpWElIg,Menard,102,2009-08-25 00:31:15,170,47,63,3,3.47,1,0,0,0,0,3,12,3,3,2,2
886,6Mv-qMJyxSokCu8YFM1o0A,Jason,202,2009-10-04 17:59:02,586,329,364,48,3.5700000000000003,3,1,1,1,1,15,33,25,25,7,7
901,g5qD10shooDJEPjt6miMrw,Lyn,1141,2007-06-30 21:55:42,3232,1277,2177,105,3.6,316,34,13,34,24,112,235,398,398,82,9
921,CHeMEder5ijEoCPLWjto_Q,German,222,2011-10-26 20:46:11,206,110,65,4,3.37,10,5,0,1,0,11,8,16,16,3,5
927,_BcWyKQL16ndpBdggh2kNA,Karen,4274,2008-05-29 12:29:54,16950,5203,9759,558,3.69,357,59,42,15,35,262,498,394,394,191,36
932,CttEj5z4XaxPD4-moJtcgw,Miguel,40,2010-10-13 03:23:08,4,7,1,2,4.24,0,0,0,0,0,0,0,1,1,0,1
941,LT8St8zfRqI-XUKtjZFfxA,Gwen,44,2007-07-09 20:16:53,119,69,90,6,3.35,4,1,1,0,0,5,3,8,8,0,0
942,kNARmp_ZMdeh5In-N1dzng,Jake,86,2011-03-23 00:35:47,55,21,29,4,4.05,3,0,1,0,0,0,1,0,0,2,1
953,Z8Q6AZm63tM3eLz8vmdk9w,Cassy,530,2009-05-15 16:13:08,830,329,470,37,3.83,39,12,6,14,1,45,75,73,73,24,10
960,vn8nPLA7J_GkHEiW5vEmbA,Christina,686,2008-01-09 21:23:18,813,1108,638,38,3.54,49,30,20,19,13,35,40,64,64,39,12
961,y_PMpgAxTWUIYAmzfFc6VA,Drew,24,2009-10-19 02:30:47,15,8,8,4,4.08,0,1,0,0,0,0,1,0,0,1,0
963,P6BJWFBDrIfb0A2b3JqeTw,Pamela,220,2005-12-29 03:19:40,1985,2798,2021,77,3.4,348,29,15,84,10,80,62,187,187,42,31
972,cUk4n3GMShdIr5pLyt9PFQ,Susan,241,2008-09-24 16:53:58,435,118,178,19,3.9,25,6,1,2,1,21,13,23,23,19,1
981,WDrVbBxsNZt-0ytEyUAaBg,Sarah,242,2008-11-03 21:53:07,365,123,174,15,3.91,3,2,1,1,1,11,6,10,10,5,1
990,HDiU7ZlOUaNOoflQb1sEtA,Andrew,87,2006-04-06 20:25:51,99,20,39,5,3.46,2,1,1,0,2,1,5,5,5,1,1
1004,LvC86RuXokprBvLoMVDQeA,Jeff,19,2009-05-06 15:12:57,51,4,13,1,3.81,3,0,0,0,0,2,1,3,3,3,0
1009,LFN_cQRCZfIlA_vn0bJtwA,Phyllis,83,2009-07-20 00:08:47,122,58,53,7,4.24,8,4,0,0,0,4,2,9,9,2,0
1020,kaHmTcEoVS3oQvfJfDe8kg,Collin,198,2011-04-07 03:02:03,634,250,303,59,4.13,22,4,4,2,1,126,271,87,87,27,3
1031,M5CDadStKmQxLJPTBGBf0Q,Marissa,488,2011-08-18 02:41:37,895,496,722,47,4.01,13,3,4,0,1,14,16,22,22,17,17
1044,ET3TgSSQ3shm2mj5vZ8IVQ,Sara,297,2007-12-26 21:22:36,1189,370,941,33,4.06,113,6,2,10,11,35,52,114,114,23,6
1051,Wxd-EKF2Z4RHZUmwQ6Eeew,A,1405,2008-02-15 16:05:59,4294,1870,2154,129,3.56,127,26,13,4,15,77,153,182,182,93,60
1052,RT8Y7PxPzC7DuAjAquNjng,Arissa,468,2006-04-24 15:52:29,1361,734,1454,171,4.18,463,46,29,68,23,76,295,354,354,240,52
1083,EIt66bYmFr_2kbs5qsL-0Q,Bee,588,2008-06-30 17:59:48,1394,900,597,59,3.6,27,11,4,1,0,36,51,56,56,37,4
1085,jURjUcktlJ5vzjkVeE77xA,Maor,15,2011-06-03 12:53:22,13,1,1,0,4.67,0,0,0,0,0,0,0,0,0,0,0
1088,jvsGDW-0yNGgMzXTtQEG5g,David,31,2010-06-29 22:13:46,48,5,17,4,4.18,0,0,0,0,0,3,6,1,1,1,0
1100,h-NFrVwhhCvxdle_3pBwiQ,Donna,67,2006-08-28 15:23:54,152,71,83,4,3.8,3,2,1,2,0,2,4,4,4,0,0
1135,46t0PI-i3pOFgLHVGWBIUA,Kaye,185,2007-10-01 17:41:49,645,473,490,57,4.12,62,13,17,17,3,40,50,95,95,32,7
1142,F5k8L6AjFz7BXntRwSjp5Q,Tony,42,2011-06-24 02:13:29,37,29,17,1,3.27,0,1,0,0,0,1,1,0,0,2,0
1149,y3Wtx1pOvTiqsJRkjceXiw,Catherine,371,2008-12-15 23:29:58,2130,778,1216,89,3.39,144,8,11,4,14,72,214,201,201,109,3
1167,a7Gve8KjkWC_1vPIEtOAKw,Mark,455,2007-12-30 23:04:51,1334,488,689,73,3.69,25,19,6,5,3,26,101,66,66,35,4
1179,i7zuRDllj1KTqoSHUayV_w,Brynn,233,2008-04-17 02:32:58,719,232,436,12,3.77,31,4,2,1,2,16,12,23,23,7,1
1184,65uUi6-TEmNcmbH-XvlyGQ,Hungry Viki,52,2011-01-15 06:13:40,71,9,23,3,4.35,0,0,0,1,0,0,3,0,0,0,0
1188,P-cKcxQupYgmdUk0DHZrSQ,Anna,294,2012-07-18 15:26:47,292,45,127,30,3.82,9,6,5,1,0,8,30,14,14,4,3
1189,UKqHsncvfuWjtaeOZNFv3Q,Duane,10,2012-01-18 18:52:13,23,1,9,1,4.2,2,0,0,0,0,0,1,0,0,0,0
1198,BDyCY898xb7QexX-XJgrEw,Autumn,155,2010-01-15 18:50:08,422,196,232,20,3.85,11,7,1,0,0,7,24,24,24,13,4
1202,ev_mrEIDJauxugj1r8Z3qg,Steve,401,2009-08-27 00:37:47,882,435,331,28,3.7,12,8,2,0,0,24,58,16,16,23,20
1206,Xw7ZjaGfr0WNVt6s_5KZfA,Marielle,2272,2010-12-22 09:41:56,15105,6729,9532,379,4.1,344,64,26,31,45,462,651,800,800,382,294
1232,SeUAfFyljHBbFtk_TFJx2Q,Stephanie,51,2010-10-23 22:11:04,105,13,19,0,3.53,0,0,0,0,0,1,1,0,0,0,0
1242,pou3BbKsIozfH50rxmnMew,Brett,2812,2012-01-11 17:19:55,22586,8950,14927,914,4.28,404,96,44,12,28,1131,3667,1265,1265,529,398
1245,eZ8PQPFuR8yfwQOU9IANGw,Stefanie,289,2010-04-08 22:18:52,587,227,289,31,3.79,31,7,1,0,1,28,71,53,53,19,4
1248,Er_1k4cl0VwKz9tfIn-FBw,Lynn,508,2010-05-26 17:09:41,2013,525,977,100,4.37,60,21,5,3,3,76,104,64,64,66,39
1252,kS1MQHYwIfD0462PE61IBw,Rob,5511,2007-08-25 01:33:28,13351,4766,8994,445,3.84,476,86,25,14,73,234,541,747,747,213,112
1268,TES0PPhg-9jaFj9v28M0cw,Lisa,212,2007-07-28 22:22:09,611,139,187,9,3.78,23,7,0,0,1,23,21,38,38,29,0
1284,rxNku8x9n5F68t0RF266yw,Steve,24,2009-02-03 00:30:35,76,35,58,1,4.36,3,1,0,0,0,4,2,3,3,0,0
1287,H-_0YKUQfxDRFztGiCrhBQ,Apearl,697,2010-12-21 00:58:05,1634,369,698,89,3.89,28,5,2,1,0,39,33,42,42,55,19
1292,JOe3hGqXl9_fRC2rjyHWrA,Dee,119,2011-07-12 19:00:14,167,55,37,8,3.28,7,3,2,0,0,4,15,9,9,1,1
1294,GJHgbuXmy-Q5eSzkDH5V3w,Fallan,11,2011-03-25 00:59:48,11,1,4,1,4.42,0,0,0,0,0,1,1,0,0,0,0
1302,m1evbVj4Q-BcO-Xu5VfvEw,Kevin,49,2010-05-20 23:23:59,67,30,23,3,4.34,1,1,0,0,0,1,1,1,1,1,1
1304,wEE-YMx5pmSuagLtNxMPKA,Stephanie,2000,2007-08-16 13:41:49,38666,20280,28814,1761,3.85,1771,168,112,107,64,1637,7431,2954,2954,812,691
1306,ZAc5vMMYLgyYqgjHXGce3Q,Jonathan,117,2009-01-27 18:21:02,137,37,47,9,4.11,3,0,0,0,0,4,9,10,10,8,0
1311,cMEtAiW60I5wE_vLfTxoJQ,Jennifer,4190,2009-05-02 20:13:36,6495,2884,4672,189,4.05,44,14,17,3,1,75,115,110,110,55,11
1314,2X4yIsAHtPi_UwfgaCCloQ,Catherine,365,2006-04-05 21:36:55,208,82,132,9,3.56,10,3,1,4,0,10,6,16,16,3,3
1330,T1rzNCZw3RdsWE_GnW8FiQ,Chris,394,2008-12-26 00:35:23,525,240,105,10,3.27,1,1,0,0,0,8,7,5,5,3,0
1341,BPZEAoU0sB6CFGusTErUuA,Vince,1995,2010-08-22 07:08:32,11713,5541,9126,220,3.78,393,30,13,2,8,415,378,830,830,195,716
1367,VfcceTxKiBq4xaeZFywRQg,Michelle,11,2008-07-08 19:17:02,60,22,15,5,3.27,2,0,0,0,0,0,0,1,1,0,0
1373,0S_i96G5FR7oYO3QeH_01Q,Joy,1416,2009-02-11 02:08:27,5328,1605,2078,140,3.66,92,26,19,12,9,125,286,158,158,133,108
1383,Rb1yFgZWNnoTmf9nPAgalw,Honey,231,2007-09-25 01:24:38,514,248,235,30,3.65,39,5,0,5,0,45,40,51,51,29,5
1386,tZA9Uztmj69tgvlHiiMKsg,Chelsea,1124,2009-12-31 21:59:20,8115,4628,6113,156,3.99,686,120,112,128,70,447,975,885,885,308,73
1403,Reuq65EOFI938Yg8xgff9g,Faith,1156,2009-03-05 02:05:16,2609,624,988,95,3.84,125,20,11,6,18,114,169,157,157,93,12
1411,j9cH6lzwGbb0SPbuatvn6w,Johnny,46,2008-05-10 17:18:35,70,23,26,2,3.62,0,1,0,0,0,2,0,0,0,0,0
1415,4kKngcDGjuzo18pxx5jHog,Amanda,409,2007-06-20 20:27:48,1082,245,476,41,3.85,89,5,5,0,4,54,59,83,83,41,4
1417,0Igx-a1wAstiBDerGxXk2A,Jen,2733,2009-01-14 18:31:29,13793,5457,8701,200,4.06,468,69,35,21,21,535,1440,946,946,454,165
1441,Kj-u8Yq1d3mLKitWsDAxpg,DJ,793,2008-04-22 21:44:02,19181,15492,17525,290,3.58,6360,1220,1387,1224,1165,2238,5906,8258,8258,2613,2296
1461,Gse3LZGsadddKxvTSy00VQ,Joseph,36,2011-10-15 20:26:43,57,8,10,3,2.63,0,0,0,0,0,2,1,1,1,0,0
1470,OZTZgCcxO7fcFkZ3LYDroA,Oski,546,2006-08-03 00:51:07,548,482,191,13,3.13,5,5,2,1,0,16,19,25,25,4,0
1483,7Z3QZnc9CFRH_bPRGN-Oiw,Suzanne,323,2009-07-23 16:00:08,2324,1436,1065,55,3.42,166,45,3,4,8,190,351,321,321,141,28
1484,DAT62jCDMV-lW15CDZgyqQ,Briana,697,2008-11-07 21:42:41,5686,5428,4835,207,3.53,1469,86,91,279,47,570,869,1242,1242,337,185
1488,p5eKzfGUZ7duXbDM0AM5bA,J,843,2006-11-03 05:49:39,3006,1783,2367,60,3.91,183,34,10,7,1,238,298,329,329,161,217
1501,P9Zmd3C-FziPitmNPhgaxA,Jason,11,2010-11-18 21:24:57,1,3,1,1,3.92,0,0,0,0,0,0,0,0,0,0,0
1503,6WG2IGTVr-xKn0pYQZJGjw,Felicia,323,2008-02-02 03:37:15,2967,1733,2156,187,4.19,321,31,40,36,27,160,892,390,390,155,60
1506,vgwdQ0fpDZdoTidJuwYq7w,Colleen,1316,2005-09-19 22:42:35,1201,804,1108,57,3.94,98,16,1,13,2,36,88,103,103,20,10
1517,sEEGucq7vg0_yT25miGmsA,Charles,50,2010-05-04 04:15:12,225,40,122,15,4.06,39,2,0,0,0,15,27,48,48,12,0
1518,hTDIebPoUXeNdyorFlUkQw,Edward,31,2009-10-01 08:04:19,47,13,23,6,3.94,0,2,0,0,0,0,1,2,2,0,0
1522,-hKniZN2OdshWLHYuj21jQ,Nicole,982,2006-08-02 14:13:58,1671,306,1020,57,4.04,49,4,8,1,4,34,22,49,49,14,4
