,user_id,business_id,text,date,compliment_count
3354,mw1f4q4WrYNRM_2XfS8v6A,QWqKTWQ2OiDgo3dzNkpung,Nice clean good price it's right..a must go to restaurant being a date,2014-08-28 23:55:37,0
3477,TDeMStfIAQJxHILuNUqtyg,QkyEr9j7il9lJqseTbPe5w,Wednesday evenings they run a special. $70 two people- entire menu pick one app one meal one dessert each. Includes bottle of house Wine red or white,2016-02-16 01:43:46,0
3614,X1Vu977CKiiV6ZIoIUGtNA,JUlsvVAvZvGHWFfkKm0nlg,Shrimp tacos are good,2014-06-05 04:45:52,0
3644,AcGBRI0xZCuQ1Z85zFVLWw,kLG2-BOk3YHDXS8PCxekZA,How about a little tonic with this vodka? Holy cow!,2011-01-29 00:39:38,0
3699,ZgQR_6rLArNb7LK2hA8JMQ,0hCrds3sgFAYzsZolg3jcg,No Three Olives S'mores! Sad!,2012-06-21 16:17:59,0
3794,mASxmaixvYyV948AFa0Wjw,nIxepiPUk5FUfL4u9EFfew,Smells great! Off to a good start.,2013-11-30 00:35:43,0
3805,Mz6Gm2_5AYWJObnXXHXAqA,6Z89Ixagyc0mrVnyZHiIVw,Monfsy is Burger night!,2012-05-28 20:56:32,0
3867,tz4eV6-OWT6dl0ME_qWSdw,4RMHlggaIdNibPUJPVEd6w,"Samuel Smith's Organic Cider! Crisp. Refreshing. In a BIG friggin bottle! Oh - and we are listening to a good local band who works here called ""Big Terrible"" from their vinyl titled ""Rotten City"". It is really good!",2013-06-09 22:14:36,0
3878,z2YWzMyti5sjtAtnX15WoA,7hpUoYdAVToZXwuPRgoqdA,"There is overflow seating in the basement, but the couch by the fire is the best spot:)",2015-02-04 23:35:07,0
3909,3L38ANdK969R4QpRVoJqtw,J7Oo9rhwX7O3ak54pu_Mhg,"Meh.  Nice people, but needs to be degreased well.",2012-06-05 16:59:04,0
4195,g3cYRU_hNKMOlB-gcrlGjQ,6Z89Ixagyc0mrVnyZHiIVw,Easy reservations and the best staff!!,2013-06-09 23:44:02,0
4202,CRSpG1N7yBisr0hMk2IZJQ,JEHLdDbFMS1tEMSgaKfJxA,"Food was acceptable but Will our server made the difference. If you want a great dinner and service ask for him. Thank you very much Will, we will be requesting your section even if there are no booths",2012-08-06 00:10:02,0
4315,0kUI7LAvbx6V8oDz2vgn-g,G_gkdBVK8N5Sp9CSGnYeMw,Best corned beef in Indy!,2011-04-06 22:34:43,0
4417,IfmqDWAJWj1tapg73wFtfA,ZCURd9PiH4qdEjQfrIZzFg,My Friend and I was at Maggie's in Santa Barbara. Food was awful Italian waiter was great. Owner treated my friend very bad it became very apparent the Owner was a racist and her rude treatment to my friend was because she was Black. The owner argued with my friend and asked us to leave.  The Owner would not allow any waiter to wait on our table.  I would not recommend this resturaunt to anyone especially if you are BLACK,2013-06-02 22:31:08,0
4495,ekFb_YClMcH0BMPfO21RGQ,c6GTImF01z981_BNJIye2g,Awesome class - great food :-),2013-11-26 02:11:35,0
4518,X1Vu977CKiiV6ZIoIUGtNA,JUlsvVAvZvGHWFfkKm0nlg,My place,2014-04-21 04:12:57,0
4566,jHvY4LCZrqQwG4UPJolJ3Q,dIpTuL2T1L98GQGU17IeSw,Great food and beer!,2011-08-07 01:58:31,0
4573,qv0Jthy-A0D95FDDIUapmg,o2i4AvqF6Q9lWK-wksxzuw,Really good fish tacos.  Surprise.,2013-05-24 18:25:40,0
4652,4PdVLzc1e5zjq2zwVysPPQ,o2i4AvqF6Q9lWK-wksxzuw,"Decent happy hour.

I take it back.  Nothing special here unless you go for the oysters.  They once served me deep fried carrots instead of vegetable tempura.",2011-07-22 02:46:46,0
4658,j-rhaPEBYWLRNGIYJ_K5lA,6Z89Ixagyc0mrVnyZHiIVw,Burger night.  Banana bread,2010-02-15 02:40:32,0
4744,NSPIUrurGiNPQnMJnXc5fg,c6GTImF01z981_BNJIye2g,Eggfest! Come see us at the Sun King beer truck!,2011-05-14 15:21:11,0
4769,y3nInWaBptG5kPLVQY_MRg,7IdIGemGZodDAA_9mJCigA,Best onion rings and coffee milk shake ever,2016-05-11 21:17:31,0
4774,X1Vu977CKiiV6ZIoIUGtNA,JUlsvVAvZvGHWFfkKm0nlg,Late nite happy hour,2014-04-08 03:36:25,0
4786,0t13G5VJ3BWkRVXa4JAq9w,zDJoyeohHjEX-Pz6zQfPng,Raw. Bar for sure,2013-05-31 23:45:14,0
4789,mLMTOW3bWc2BMSdYL_DS3Q,JUlsvVAvZvGHWFfkKm0nlg,Fast service and $10.00 pitcher of margaritas,2013-02-22 00:35:06,0
4799,ZkhW_TcIk2grGaLbC6eWBw,c8rjE6NcfeyzLB_aU1GdMA,What a joke. What Philadelphia bar won't put the Flyers game on? You guys SUCK,2015-03-07 19:09:54,0
4908,oSjxHFZjcuY_PX07a9Fm2w,Y6yKULVTDX4Asp3BaL5ScQ,"Starting  in February 2016, only one storytime at 10:15am (instead of two less-attended ones).  Fun and busy, full of music music music.",2016-02-04 18:32:17,0
4946,X1Vu977CKiiV6ZIoIUGtNA,JUlsvVAvZvGHWFfkKm0nlg,Great place to be,2014-06-14 01:01:23,0
4964,hZ-ZtZ3bqZg6GhWepqj20g,UM6XgOtTX4DWWcGDTWtjEg,I.love.this.bar.,2011-10-11 22:20:58,0
5079,AQ_rpad7JQREara5O8sitQ,NIQWO-Q_F598XlAvZnFVCA,"If you have a yelp ""free appetizer"" check-in deal it's not valid anymore!! =(",2015-05-18 18:47:25,0
5112,goySBsZ3QJfSaElPIDIzLw,A0F-h3xJm_6gHDKcDQwSrQ,Kitchen closes at NINE p.m.,2012-03-20 02:19:08,0
5154,-X1DtcndHvtoFkVsZZLsFg,Aphp-EdFass877c-sWp5eg,"Must try main track crepe, although I subbed provolone for the feta cheese. Dollyfloppers (beignets) are awesome!",2012-10-20 18:23:58,0
5255,acLOor4HFm1IuyEfT08ECw,E9-k8aOCS2sSh9RYxvWU_A,Food is always consistent. Santa fe blackened chicken wrap awesome,2015-09-13 22:57:46,0
5350,PrJ37Ik9DxritxGPqI9ktw,H2nFgEFitRk7ltE8IRH0xA,my first time at this Taco Bell i must say it was very clean unlike the many Taco Bell have seen. fast service too,2011-07-12 17:28:55,0
5458,u3cttqqjTzrQJV8ziE9aUw,E-nhxuu3zbt02oCj_1AFng,So many awesome choices for you to feel amazing :),2016-05-21 19:29:55,0
5465,aX2EbnZtMjxvNLgcsQtjPw,E9-k8aOCS2sSh9RYxvWU_A,Burger and a cold beer without the crowd? This is your spot.,2015-09-28 21:25:33,0
5550,KZeevXlrB1LDgjgsPwVS2w,hF-Ndu77yzspMkDZv9bWzg,So good!!,2016-02-03 17:17:33,0
5611,RMjEYnvC-fhu8RoopYj2Ig,QWqKTWQ2OiDgo3dzNkpung,Busy today- parking lot is full!,2012-01-08 17:08:46,0
5632,iPx3j4gauS-oVogXTiUGxg,r43DrfYAbAgifsYyNkljZw,"The bartender will never ask you if you want to order food, and will not check on you unless you're done with your drink (IF then).",2016-07-28 22:46:17,0
5653,iIAxuzekoFKUkdrqIflKtw,NIQWO-Q_F598XlAvZnFVCA,"For those of you who like to add hot sauce to everything, they have an amazing sauce they put on their wings and it is awesome on burgers/fries.",2013-02-10 18:45:17,0
5757,dQDt0l5e9sre54eG7plUdA,MTSW4McQd7CbVtyjqoe9mw,Really good egg tart and bubble tea.  Best we have had in Chinatown so far,2013-06-17 17:28:26,0
5788,jHvY4LCZrqQwG4UPJolJ3Q,4vLJd8N3wy_Q_wu_DZuRag,Try the Soho BLT!,2011-08-07 16:51:03,0
5856,Xlb-Hxrvkfyadnkmk5hrgw,c6GTImF01z981_BNJIye2g,"""If you want your husband to cook more by him an Egg!"" - KEW",2010-12-02 23:02:23,0
5883,HvO4EP21-9Ty75slfATM9A,2kOGFDJ9v4T9AzuKWhwl2g,Drive thru!!,2011-08-13 17:00:08,0
5910,G-l9ihg3sRAiGTuZLDmJTQ,OrE8LhQpKVXTA6gJyu5G9Q,Have a Costco card? Save 10%.,2014-06-03 02:06:39,0
5933,hs9HYNgFw_aKlmv4E6X4HA,cN4Y09a7clgjFd1tY-wSZw,The new filet tacos are so good!,2011-08-06 20:33:03,0
5945,5bJpDx4c7x9fYzdltOhfbw,7hpUoYdAVToZXwuPRgoqdA,Perfect spot for a meeting!,2014-06-27 19:16:37,0
5987,uCAtWdcGvNDkJUxqBk8OBA,oY5LFo6Yxxf32ePna6mEUQ,Best massage ever!!,2011-03-07 21:01:39,0
6092,vez7OWVZo98_Yqg77XJC-g,NIQWO-Q_F598XlAvZnFVCA,Great IPA sampler on a sunny Santa Barbara 'winter' afternoon.,2016-02-03 21:31:49,0
6142,rk9ZXI0OjdelPKDG1kl_gg,2kOGFDJ9v4T9AzuKWhwl2g,The employees are deep-cleaning today.  I love to see this!,2017-03-25 18:13:01,0
6176,KOwIr6XJIErjlpD3i54MwA,dIpTuL2T1L98GQGU17IeSw,Salsa's incredibly fresh and your check gets you 10% off next door @SPoT,2011-04-26 04:49:10,0
6506,1cfl2GIaTDJ_uiiIC_kUvQ,QWqKTWQ2OiDgo3dzNkpung,"It's very nice  

They have a shortage of forks though...",2016-01-14 05:33:46,0
6796,zbmWrzRDq82QPKzveYV-cQ,hDVpw1PSS31uFUCOsI-eog,"This place is a joke, more like taco crapday",2015-02-25 03:13:24,0
6819,X1nvKXUJ5Lp3W9Oe-_JrMQ,c8rjE6NcfeyzLB_aU1GdMA,"The service here is always pretty poor but if you hit a happy hour, you can't go wrong.",2011-04-16 12:39:55,0
6830,z7Fd9GM8_fESYUSFSKCvGQ,QWqKTWQ2OiDgo3dzNkpung,"Tri-lingual menu - English, Korean and Chinese",2016-09-03 03:54:51,0
6908,y3nInWaBptG5kPLVQY_MRg,7IdIGemGZodDAA_9mJCigA,Best Key Lime pie and green star coffee and fried chicken,2016-02-12 21:16:27,0
6952,B0422GXKvTehyp0PCiogfg,S2Ho8yLxhKAa26pBAm6rxA,Great etouffee. The waiter was very friendly. The restaurant was very clean.,2017-06-11 15:22:11,0
7036,64XUYBF1Rpe8ax7M2w9oYQ,kMHZgooGdHN9099Ya0X4vA,Room was filthy and had bedbugs (unfortunately did not figure this out until later). I should have followed my instincts and not stayed here. Stay away!,2017-10-04 03:43:17,0
7049,pSgXrtF35AYfCoZcvIExLQ,N3m24XDVz7YSI8f39LELTQ,Awesome barber!!! $12.00 cuts cash only.,2015-06-05 23:01:40,0
7158,FlXBpK_YZxLo27jcMdII1w,4gn3wNWbNK8vPfoCN_BKAA,Extremely ignorant employees.,2017-08-29 01:47:26,0
7171,8WzFNiQZbUJjvHoT2Jp5rg,z7sp6u5JnNlq2ziu31EFvw,24 hour pharmacy!,2010-03-11 01:15:15,0
7180,m6SZs9-UPweT1LpmUftIZA,4iTsgayXGV8zYppognuQXg,It's a good burger place with great fries!,2015-06-23 15:58:54,0
7198,tQ6HM9ldSsYbuPugPUr-gw,z7sp6u5JnNlq2ziu31EFvw,Go to another drugstore and make sure it's local these big stores run out in 2 hours or say we don't carry that anymore lol I guess yesterday was the last day and tomorrow you carry it again,2013-02-22 23:46:10,0
7217,83RL7Mpq6nh8dGCpBTIKnw,JUlsvVAvZvGHWFfkKm0nlg,Im here now... And its not good.,2015-09-12 01:16:20,0
7362,saQQmDQQJ14BVkm_sg53UA,APW4-ESYGTIn17mY189Osg,Chicken pecan salad is great!,2012-12-03 16:58:02,0
7369,lSJAz1la2MngxNqSFSmUsQ,nIxepiPUk5FUfL4u9EFfew,The BBQ buffet lunch is outstanding.,2012-11-15 21:00:11,0
7379,T4luqLHT6waoNp4BgKJRXA,OrE8LhQpKVXTA6gJyu5G9Q,Good bowl of pho.,2015-03-02 19:40:44,0
7385,9n7RwTPN_yjSBypKt5Ipww,boLOUdV5T1O5a1cWaClfDA,"They have an interesting ""Taste of Newfoundland"" grocery. Very cool!",2015-06-02 01:15:38,0
7487,jeiDSBx1cc7uxi7kX9OI6Q,OrE8LhQpKVXTA6gJyu5G9Q,Phooooo!!!!,2011-08-08 22:19:59,0
7502,W625SoCsKsZyiws3GR1MTg,UYxGgnJ4Z2lOehK23HSIlw,Now called Mister Car Wash,2011-10-07 16:21:16,0
7506,njcXFGqIuSp-_joP42MhxA,6Ua4Pu_2bXuxpaxDyUA_BQ,"JLa, CiRo, Sidster, Galafanakis, and D-Dawg! And, the CC Music Factory...!!",2012-05-27 03:05:54,0
7577,D8vGFpjgrugOgbJ8custEg,lNsnmur2Df2oK9ywyY0H3g,Everything I've had so far is good. The tortilla soup was amazing!,2012-05-22 17:03:13,0
7614,rY3YK7bzZGxzaKB_iNN1tQ,lNsnmur2Df2oK9ywyY0H3g,Great place.  Food delicious service very good.  Best ceviche in the area.,2018-04-28 00:30:54,0
7663,pTIS74bisEX8Na9NVYC17Q,bPPy7yNFfb-6N_bHkn1qAw,Had this at lunch. Great spicy stuff. Will be back.,2013-10-27 09:35:54,0
7675,TeRRWmSTokpfPV-FxhnwOg,o2i4AvqF6Q9lWK-wksxzuw,This place is horrible that's all.,2016-12-03 22:38:29,0
7686,iqVVmm1vcI7Hn1PUE2t_XQ,lV0k3BnslFRkuWD_kbKd0Q,"Dessert is offered, but it's not on the menu. Walk in and check the chalkboard to see what they have.",2017-07-02 20:38:57,0
7688,acLOor4HFm1IuyEfT08ECw,E9-k8aOCS2sSh9RYxvWU_A,Try the onion pedals .. Good app.,2015-02-23 01:14:00,0
7699,7Na1pUcEv3oF_QTRwZ-2iw,NIQWO-Q_F598XlAvZnFVCA,"Kelsey is friendly 
and nice",2012-11-18 05:36:41,0
7761,WtsRDbbAF1X6LQX1qpIjOg,S2Ho8yLxhKAa26pBAm6rxA,Great wait staff! Great food!,2017-07-01 15:00:02,0
7764,RKULSOrIvvYpDmtuYXEXzA,nMxfEiAANa_FsrCZZVHoEg,Only us die hards willing to brave 15 degree weather are here,2014-01-24 02:26:12,0
7895,jp8o3v_8qnuqBjnM50r_Ug,4FjJEFN8CK6eoLMmt7t9EQ,24 hr,2011-04-14 01:01:26,0
8039,7Ju_RQfW5vEo1ExxauUQMg,2kOGFDJ9v4T9AzuKWhwl2g,Mochasippi. Yes.,2012-04-01 23:28:32,0
8099,aZpUMXB8ybm1CO1WGbt6uw,cN4Y09a7clgjFd1tY-wSZw,Stop in for a beverage or two!,2013-12-28 20:47:34,0
8107,-B-QEUESGWHPE_889WJaeg,NIQWO-Q_F598XlAvZnFVCA,"Happy Hour, DAILY but only 2-6",2012-10-06 20:05:04,0
8145,I2XpWCHAom1JRyHXZQrnfg,6Z89Ixagyc0mrVnyZHiIVw,"Yeaterday afternoon, when the place was very quiet, what a calamity. If I had seen the restroom before I ate, I would not have stayed to eat. NO EXCUSES, staff standing around out front, needing things to do, 2 hostesses with 3 tables of customers......",2015-10-19 15:12:59,0
8212,ibRrf8Kv4Oo-pUsAH9wtjw,HsibLfc2XD7Gh7Hbd1WfJQ,Limited hours for the staff. Make sure to call ahead if you want to sign up.,2013-05-16 10:32:31,0
8235,T6TInNEhz-qm5tT_ZjQEoA,JUlsvVAvZvGHWFfkKm0nlg,Steak Enchiladas=duhlicious,2011-08-16 03:27:56,0
8248,dEvFqqQImRAaE1dT5wYMJg,GMjmrbksSxabPHYmhjsOEw,Sean S is an outstanding guy to talk to about anything gun related.,2017-10-20 22:34:03,0
8275,LCcd6tEjC_Ty-aCVBHJjcw,US2-dEVvnOdde7Syi18TTw,Check out the drive through option for meals to go.,2017-10-12 17:09:33,0
8403,_Wkf2RNDnBuqMOpzSqmZXw,fNfnyVFfn7B9zuU7cYyk3Q,Open seating so come early.,2014-06-14 02:28:23,0
8422,QEpNF4Hag6_W9Stc-1Frvg,-Tnsc_b8dsWuAq1wQugKZA,Free Taco when you purchase a drink on Fridays,2013-02-23 00:19:38,0
8445,AUIfv9YC3RW8GvC516qM3Q,GlYN-RJyL_YwxIqsSDo1ag,Closed as of 1.4.18,2018-01-04 18:45:51,0
8585,acLOor4HFm1IuyEfT08ECw,E9-k8aOCS2sSh9RYxvWU_A,Try the fish taco,2014-11-02 23:54:23,0
8800,JMtTO8a2ji_D4j3McSiJsA,UM6XgOtTX4DWWcGDTWtjEg,"It's their 1 year b-day. Live music, balloon drop. Tostadas and drinks on special!",2011-09-02 01:52:52,0
8850,RIXIoCTafjr1auUJkV3fLg,GlYN-RJyL_YwxIqsSDo1ag,They have a awesome menu and plenty of parking.,2014-06-29 18:00:29,0
8911,y3nInWaBptG5kPLVQY_MRg,7IdIGemGZodDAA_9mJCigA,"Best fried chicken and coffee
And key lime pie",2016-02-12 21:13:18,0
8945,5O3VvfDu_HDvgUviAqmTEA,0hCrds3sgFAYzsZolg3jcg,Restocking our wine cabinet.,2012-05-19 21:32:24,0
8982,W625SoCsKsZyiws3GR1MTg,buhO8vRCaEoNvlxU0AJRpQ,I love watching the guy with the beard. He really moves the line. Lots faster than some Starbucks (I'm looking at you Intl Mall),2011-07-25 14:51:17,0
9200,LWAd8A8mu1V6WlR3CEzN8w,QWqKTWQ2OiDgo3dzNkpung,Nicely decor place and good food. Own parking lot!,2013-09-01 18:05:56,0
9238,EuHciNKJWb5UfJdlD78fBQ,0yElmJZHbfRJt4gmdot8Og,"A very a long wait, each and every time.",2015-06-08 00:59:18,0
9265,th53Z_6W9q4srq8HyOSVqQ,dIpTuL2T1L98GQGU17IeSw,Awesome sandwiches and friendly service. Highly recommend the grilled cheese proper!,2014-03-16 16:34:32,0
9280,5Y5KbsI5buMcNh2hTFaRpA,hk4987MH7je8PtGs-acesw,Setting up for the FREE Nashville Symphony show tonight! Stop by and say hi to Samantha at the Yelp booth.,2011-06-09 23:24:34,0
9322,OAZEpQPipvmHpzKdNlpa3A,NIQWO-Q_F598XlAvZnFVCA,Not great service. Here for an hour and no table!,2015-06-17 04:23:31,0
